City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Dali,CN,2022-06-16 04:22:18,25.7,100.1833,64.0,84,100,4.25
155,Sao Joao Da Barra,BR,2022-06-16 04:22:19,-21.6403,-41.0511,63.59,85,58,5.68
156,Hofn,IS,2022-06-16 04:22:19,64.2539,-15.2082,48.54,81,6,10.92
157,San Quintin,MX,2022-06-16 04:22:20,30.4833,-115.95,62.46,83,0,3.96
158,Tautira,PF,2022-06-16 04:22:20,-17.7333,-149.15,78.94,77,30,15.32
159,Vardo,NO,2022-06-16 04:22:21,70.3705,31.1107,40.98,93,100,18.41
160,Mahebourg,MU,2022-06-16 04:22:21,-20.4081,57.7,74.25,83,20,10.36
161,Waipawa,NZ,2022-06-16 04:22:22,-41.4122,175.5153,53.85,65,21,17.22
162,Auki,SB,2022-06-16 04:22:22,-8.7676,160.7034,84.54,65,65,5.86
163,Urmary,RU,2022-06-16 04:22:22,55.6789,47.944,62.17,83,100,5.97
164,Parrita,CR,2022-06-16 04:22:23,9.5201,-84.3225,76.26,85,100,2.62
165,Ayna,PE,2022-06-16 04:22:23,-12.65,-73.9167,53.08,38,1,4.74
166,Aljezur,PT,2022-06-16 04:22:24,37.3191,-8.8033,61.9,92,77,2.33
167,Bhawanipatna,IN,2022-06-16 04:22:24,19.9,83.1667,89.76,49,100,8.23
168,Port Hardy,CA,2022-06-16 04:22:25,50.6996,-127.4199,51.98,93,100,3.44
169,Sechura,PE,2022-06-16 04:22:26,-5.5569,-80.8222,63.09,79,2,13.89
170,Teguldet,RU,2022-06-16 04:22:26,57.3064,88.1667,64.08,84,100,5.59
171,Kodiak,US,2022-06-16 04:22:27,57.79,-152.4072,54.91,76,75,3.44
172,Saldanha,ZA,2022-06-16 04:22:27,-33.0117,17.9442,42.85,71,32,8.61
173,Gimli,CA,2022-06-16 04:19:25,50.6336,-96.9907,59.02,82,100,2.3
174,Tuatapere,NZ,2022-06-16 04:22:28,-46.1333,167.6833,47.5,85,100,12.44
175,Diu,IN,2022-06-16 04:22:29,20.7141,70.9822,87.44,66,47,12.84
